Broker          Stock           Value           Changes             Date and Time
Broker 1        Retail          37              7               2/12/2023 7:41:14 PM
Broker 4        Retail          37              7               2/12/2023 7:41:14 PM
Broker 1        Technology      177             7               2/12/2023 7:41:14 PM
Broker 2        Technology      177             7               2/12/2023 7:41:14 PM
Broker 3        Technology      177             7               2/12/2023 7:41:14 PM
Broker 4        Technology      177             7               2/12/2023 7:41:14 PM
Broker 2        Banking         105             7               2/12/2023 7:41:14 PM
Broker 3        Banking         105             7               2/12/2023 7:41:14 PM
Broker 4        Banking         105             7               2/12/2023 7:41:14 PM
Broker 2        Commodity       580             7               2/12/2023 7:41:14 PM
Broker 4        Commodity       580             7               2/12/2023 7:41:14 PM
Broker 1        Retail          38              8               2/12/2023 7:41:15 PM
Broker 4        Retail          38              8               2/12/2023 7:41:15 PM
Broker 1        Technology      181             8               2/12/2023 7:41:15 PM
Broker 2        Technology      181             8               2/12/2023 7:41:15 PM
Broker 3        Technology      181             8               2/12/2023 7:41:15 PM
Broker 4        Technology      181             8               2/12/2023 7:41:15 PM
Broker 2        Banking         106             8               2/12/2023 7:41:15 PM
Broker 3        Banking         106             8               2/12/2023 7:41:15 PM
Broker 4        Banking         106             8               2/12/2023 7:41:15 PM
Broker 2        Commodity       593             8               2/12/2023 7:41:15 PM
Broker 4        Commodity       593             8               2/12/2023 7:41:15 PM
Broker 1        Technology      182             9               2/12/2023 7:41:15 PM
Broker 2        Technology      182             9               2/12/2023 7:41:15 PM
Broker 3        Technology      182             9               2/12/2023 7:41:15 PM
Broker 4        Technology      182             9               2/12/2023 7:41:15 PM
Broker 1        Retail          39              9               2/12/2023 7:41:15 PM
Broker 4        Retail          39              9               2/12/2023 7:41:15 PM
Broker 2        Banking         109             9               2/12/2023 7:41:15 PM
Broker 3        Banking         109             9               2/12/2023 7:41:15 PM
Broker 4        Banking         109             9               2/12/2023 7:41:15 PM
Broker 2        Commodity       607             9               2/12/2023 7:41:15 PM
Broker 4        Commodity       607             9               2/12/2023 7:41:15 PM
Broker 1        Technology      185             10              2/12/2023 7:41:16 PM
Broker 2        Technology      185             10              2/12/2023 7:41:16 PM
Broker 3        Technology      185             10              2/12/2023 7:41:16 PM
Broker 4        Technology      185             10              2/12/2023 7:41:16 PM
Broker 1        Retail          40              10              2/12/2023 7:41:16 PM
Broker 4        Retail          40              10              2/12/2023 7:41:16 PM
Broker 2        Banking         112             10              2/12/2023 7:41:16 PM
Broker 3        Banking         112             10              2/12/2023 7:41:16 PM
Broker 4        Banking         112             10              2/12/2023 7:41:16 PM
Broker 2        Commodity       608             10              2/12/2023 7:41:16 PM
Broker 4        Commodity       608             10              2/12/2023 7:41:16 PM
Broker 1        Technology      189             11              2/12/2023 7:41:16 PM
Broker 2        Technology      189             11              2/12/2023 7:41:16 PM
Broker 3        Technology      189             11              2/12/2023 7:41:16 PM
Broker 4        Technology      189             11              2/12/2023 7:41:16 PM
Broker 1        Retail          41              11              2/12/2023 7:41:16 PM
Broker 4        Retail          41              11              2/12/2023 7:41:16 PM
Broker 2        Banking         115             11              2/12/2023 7:41:16 PM
Broker 3        Banking         115             11              2/12/2023 7:41:16 PM
Broker 4        Banking         115             11              2/12/2023 7:41:16 PM
Broker 2        Commodity       625             11              2/12/2023 7:41:16 PM
Broker 4        Commodity       625             11              2/12/2023 7:41:16 PM
Broker 1        Technology      191             12              2/12/2023 7:41:17 PM
Broker 2        Technology      191             12              2/12/2023 7:41:17 PM
Broker 3        Technology      191             12              2/12/2023 7:41:17 PM
Broker 4        Technology      191             12              2/12/2023 7:41:17 PM
Broker 1        Retail          42              12              2/12/2023 7:41:17 PM
Broker 4        Retail          42              12              2/12/2023 7:41:17 PM
Broker 2        Banking         116             12              2/12/2023 7:41:17 PM
Broker 3        Banking         116             12              2/12/2023 7:41:17 PM
Broker 4        Banking         116             12              2/12/2023 7:41:17 PM
Broker 2        Commodity       635             12              2/12/2023 7:41:17 PM
Broker 4        Commodity       635             12              2/12/2023 7:41:17 PM
Broker 1        Technology      192             13              2/12/2023 7:41:17 PM
Broker 2        Technology      192             13              2/12/2023 7:41:17 PM
Broker 3        Technology      192             13              2/12/2023 7:41:17 PM
Broker 4        Technology      192             13              2/12/2023 7:41:17 PM
Broker 1        Retail          43              13              2/12/2023 7:41:17 PM
Broker 4        Retail          43              13              2/12/2023 7:41:17 PM
Broker 2        Banking         119             13              2/12/2023 7:41:17 PM
Broker 3        Banking         119             13              2/12/2023 7:41:17 PM
Broker 4        Banking         119             13              2/12/2023 7:41:17 PM
Broker 2        Commodity       637             13              2/12/2023 7:41:17 PM
Broker 4        Commodity       637             13              2/12/2023 7:41:17 PM
Broker 1        Technology      196             14              2/12/2023 7:41:18 PM
Broker 2        Technology      196             14              2/12/2023 7:41:18 PM
Broker 3        Technology      196             14              2/12/2023 7:41:18 PM
Broker 4        Technology      196             14              2/12/2023 7:41:18 PM
Broker 1        Retail          44              14              2/12/2023 7:41:18 PM
Broker 4        Retail          44              14              2/12/2023 7:41:18 PM
Broker 2        Commodity       649             14              2/12/2023 7:41:18 PM
Broker 4        Commodity       649             14              2/12/2023 7:41:18 PM
Broker 2        Banking         120             14              2/12/2023 7:41:18 PM
Broker 3        Banking         120             14              2/12/2023 7:41:18 PM
Broker 4        Banking         120             14              2/12/2023 7:41:18 PM
Broker 1        Technology      197             15              2/12/2023 7:41:18 PM
Broker 2        Technology      197             15              2/12/2023 7:41:18 PM
Broker 3        Technology      197             15              2/12/2023 7:41:18 PM
Broker 4        Technology      197             15              2/12/2023 7:41:18 PM
Broker 1        Retail          45              15              2/12/2023 7:41:18 PM
Broker 4        Retail          45              15              2/12/2023 7:41:18 PM
Broker 2        Commodity       664             15              2/12/2023 7:41:18 PM
Broker 4        Commodity       664             15              2/12/2023 7:41:18 PM
Broker 2        Banking         123             15              2/12/2023 7:41:18 PM
Broker 3        Banking         123             15              2/12/2023 7:41:18 PM
Broker 4        Banking         123             15              2/12/2023 7:41:18 PM
Broker 1        Retail          46              16              2/12/2023 7:41:19 PM
Broker 4        Retail          46              16              2/12/2023 7:41:19 PM
Broker 1        Technology      200             16              2/12/2023 7:41:19 PM
Broker 2        Technology      200             16              2/12/2023 7:41:19 PM
Broker 3        Technology      200             16              2/12/2023 7:41:19 PM
Broker 4        Technology      200             16              2/12/2023 7:41:19 PM
Broker 2        Commodity       665             16              2/12/2023 7:41:19 PM
